file_url	time_period	data_type
https://www.fec.gov/files/bulk-downloads/1990/oth90.zip	1989–1990	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/1988/oth88.zip	1987–1988	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/1986/oth86.zip	1985–1986	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/1984/oth84.zip	1983–1984	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/1982/oth82.zip	1981–1982	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/1980/oth80.zip	1979–1980	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2020/oppexp20.zip	2019–2020	Operating expenditures
https://www.fec.gov/files/bulk-downloads/2018/oppexp18.zip	2017–2018	Operating expenditures
https://www.fec.gov/files/bulk-downloads/2016/oppexp16.zip	2015–2016	Operating expenditures
https://www.fec.gov/files/bulk-downloads/2014/oppexp14.zip	2013–2014	Operating expenditures
https://www.fec.gov/files/bulk-downloads/2012/oppexp12.zip	2011–2012	Operating expenditures
https://www.fec.gov/files/bulk-downloads/2010/oppexp10.zip	2009–2010	Operating expenditures
https://www.fec.gov/files/bulk-downloads/2008/oppexp08.zip	2007-2008	Operating expenditures
https://www.fec.gov/files/bulk-downloads/2006/oppexp06.zip	2005–2006	Operating expenditures
https://www.fec.gov/files/bulk-downloads/2004/oppexp04.zip	2003–2004	Operating expenditures
